_id,role,password,name,details
$User~~1,USER,c9d9b8cab32214716ee1b44b3aae2502,Keenan Leffler,Legacy Group Liaison
$User~~10,USER,c9d9b8cab32214716ee1b44b3aae2502,Lonie Wiza,Customer Division Coordinator
$User~~2,USER,c9d9b8cab32214716ee1b44b3aae2502,Edwardo McKenzie,Forward Factors Strategist
$User~~3,USER,c9d9b8cab32214716ee1b44b3aae2502,Vergie Stracke Sr.,Dynamic Markets Architect
$User~~4,USER,c9d9b8cab32214716ee1b44b3aae2502,Jerrod Dibbert,Corporate Directives Developer
$User~~5,USER,c9d9b8cab32214716ee1b44b3aae2502,Jerad Buckridge,International Intranet Consultant
$User~~6,USER,c9d9b8cab32214716ee1b44b3aae2502,Ottis Conn,Future Program Executive
$User~~7,USER,c9d9b8cab32214716ee1b44b3aae2502,Hobart MacGyver,Regional Interactions Orchestrator
$User~~8,USER,c9d9b8cab32214716ee1b44b3aae2502,Brandon Ondricka Jr.,Legacy Metrics Planner
$User~~9,USER,c9d9b8cab32214716ee1b44b3aae2502,Bonita Collins,Central Identity Analyst
$User~~Fredrick51,ADMIN,c9d9b8cab32214716ee1b44b3aae2502,Fredrick Lehner,International Operations Liaison
